"A.alpina_cv.Pajares" "A.arabicum" "A.lyrata_cv.MN47" "A.thaliana" "B.carinata_cv.zd-1" "B.juncea_cv.AU213" "B.juncea_cv.T84-66" "B.napus_cv.ZS11" "B.nigra_cv.NI100" "B.nigra_cv.Sangam" "B.oleracea_cv.HDEM" "B.oleracea_cv.JZS" "B.rapa_cv.Chiifu" "B.rapa_cv.FPsc" "B.retrofracta" "B.stricta" "C.grandiflora" "C.hirsuta" "C.rubella_cv.MonteGargano" "C.sativa_cv.DH55" "E.salsugineum" "R.raphanistrum_ssp.landra" "R.raphanistrum_ssp.raphanistrum" "R.sativus_cv.XYB36-2" "S.parvula" "V.vinifera_cv.PN40024"
"AP2" 18 20 19 18 46 59 60 62 34 30 27 32 29 27 18 18 18 18 18 77 18 29 31 29 17 19
"ARF" 10 15 20 22 66 77 79 67 38 24 34 33 36 32 19 19 16 16 19 47 18 35 32 27 21 17
"ARR-B" 10 14 11 14 42 43 44 43 22 23 24 22 20 21 14 13 13 12 15 41 18 23 21 23 13 12
"B3" 60 73 72 68 256 261 245 257 164 136 101 142 101 120 68 62 64 70 72 192 67 120 115 113 54 29
"BBR-BPC" 1 6 7 7 22 25 26 25 13 14 12 13 13 12 7 7 6 7 6 23 7 8 6 10 7 5
"BES1" 6 9 9 8 30 31 31 28 16 16 13 14 15 16 8 8 8 8 8 31 8 14 15 11 10 6
"bHLH" 111 144 159 153 539 572 574 585 288 281 280 290 266 273 156 156 147 148 153 445 151 261 245 245 151 115
"bZIP" 41 60 79 73 240 271 277 258 140 141 134 144 134 114 76 71 73 71 73 213 74 107 97 117 76 47
"C2H2" 73 72 106 100 366 402 399 411 201 195 194 203 189 185 99 100 102 100 104 282 100 76 91 180 97 64
"C3H" 32 45 57 49 133 167 167 166 86 75 82 84 82 75 55 51 49 49 53 159 49 75 72 75 48 43
"CAMTA" 7 6 6 6 13 21 22 24 12 9 10 14 12 9 6 6 6 6 6 20 6 11 10 7 6 4
"CO-like" 13 13 18 17 43 52 53 51 22 21 27 26 26 24 18 16 16 15 16 50 13 24 21 17 15 6
"CPP" 11 11 8 8 27 34 33 33 16 15 17 17 17 15 11 8 8 10 8 23 8 17 17 16 7 6
"DBB" 7 6 7 8 31 31 33 37 16 18 16 15 14 17 9 9 8 9 8 23 9 19 17 13 8 7
"Dof" 26 33 37 36 157 149 146 155 74 67 71 74 72 74 34 33 34 39 35 111 46 39 38 66 38 22
"E2F/DP" 9 7 8 8 28 31 31 30 16 16 16 15 14 14 8 8 8 7 9 23 8 15 16 15 9 7
"EIL" 3 7 6 6 23 29 27 26 17 15 12 13 13 13 6 6 5 6 6 18 6 7 7 15 7 2
"ERF" 94 107 130 122 426 500 492 497 243 252 247 253 214 242 123 122 112 123 125 361 115 69 75 225 124 80
"FAR1" 8 14 21 17 8 43 43 37 26 24 20 18 20 24 17 15 17 17 19 53 19 27 21 6 19 18
"G2-like" 38 44 52 43 153 177 177 182 87 86 88 88 84 79 47 47 45 42 48 136 40 78 81 75 49 40
"GATA" 9 25 29 30 114 123 123 125 62 56 55 62 60 60 32 30 28 28 30 92 30 55 59 56 30 19
"GeBP" 30 13 22 22 42 43 40 40 21 21 22 24 21 19 20 20 18 15 23 43 14 10 8 20 25 1
"GRAS" 23 32 39 34 108 104 102 94 58 57 56 56 53 47 40 38 33 36 34 129 36 19 13 51 35 43
"GRF" 10 8 9 9 26 32 34 30 16 17 16 16 15 16 9 8 8 9 9 24 9 18 16 17 9 8
"HB-other" 5 9 8 7 17 22 21 14 13 14 8 15 8 9 7 9 7 7 7 28 6 8 13 14 7 7
"HB-PHD" NA 2 2 2 6 7 7 8 3 3 4 5 4 4 2 2 2 2 2 6 2 4 4 3 2 2
"HD-ZIP" 42 44 45 48 159 194 201 191 94 92 99 95 93 89 52 49 51 51 51 148 49 92 99 95 51 33
"HRT-like" 2 3 2 2 6 6 6 7 3 3 1 3 4 3 3 3 2 2 2 6 2 3 3 3 2 1
"HSF" 20 16 33 24 97 111 106 98 61 45 54 48 54 46 30 31 31 28 30 106 29 44 48 45 23 19
